,record_id,user_id,age,gender,region_name,urban_level,is_internet_user,isp,connection_type,tariff_name,daily_hours,usage_purpose,monthly_cost_egp,download_speed_mbps,year,Reason_Not_Using_Internet,Age_Group,Internet_Speed_In_Region
0,1,1,26,Male,Giza,0.9,1,Vodafone,Mobile Data,Vodafone Red 20GB,4.2,Social Media,150,15,2023,IS_Internet_User,25-34,17.1
1,2,2,16,Male,Cairo,0.95,0,Vodafone,,,0.0,,0,0,2018,Low digital literacy,15-24,15.8
2,3,3,18,Male,Cairo,0.95,0,WE,,,0.0,,0,0,2023,No internet coverage,15-24,15.8
3,4,4,21,Male,Delta,0.6,1,WE,Mobile Data,WE Mobile 20GB,5.3,Social Media,120,10,2021,IS_Internet_User,15-24,14.0
4,5,5,40,Female,Cairo,0.95,1,WE,Mobile Data,WE Mobile 40GB,3.8,Work,200,20,2016,IS_Internet_User,35-44,15.8
5,6,6,50,Male,Delta,0.6,1,Vodafone,Mobile Data,Vodafone Red 20GB,4.3,News,150,15,2021,IS_Internet_User,45-54,14.0
6,7,7,36,Female,Upper Egypt,0.4,1,Etisalat,Fixed Broadband,Etisalat Extreme,5.5,Work,620,100,2024,IS_Internet_User,35-44,12.0
7,8,8,48,Male,Cairo,0.95,1,Orange,Mobile Data,Orange Go 20GB,4.1,News,140,15,2018,IS_Internet_User,45-54,15.8
8,9,9,16,Female,Alexandria,0.92,1,Etisalat,Mobile Data,Etisalat Mix 40GB,5.8,Streaming,230,25,2018,IS_Internet_User,15-24,13.7
9,10,10,49,Male,Delta,0.6,1,Vodafone,Mobile Data,Vodafone Red 20GB,4.0,News,150,15,2023,IS_Internet_User,45-54,14.0
10,11,11,62,Male,Giza,0.9,0,No is Sim Owner,,,0.0,,0,0,2020,Physical disability,55+,17.1
11,12,12,56,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 40GB,2.0,News,200,20,2018,IS_Internet_User,55+,15.8
12,13,13,34,Female,Giza,0.9,1,WE,Mobile Data,WE Mobile 80GB,6.4,Work,350,30,2017,IS_Internet_User,25-34,17.1
13,14,14,39,Female,Delta,0.6,1,WE,Fixed Broadband,WE Silver,3.9,Work,400,50,2024,IS_Internet_User,35-44,14.0
14,15,15,51,Male,Upper Egypt,0.4,1,Orange,Mobile Data,Orange Go 20GB,3.4,News,140,15,2015,IS_Internet_User,45-54,12.0
15,16,16,46,Male,Cairo,0.95,1,WE,Mobile Data,WE Mobile 80GB,3.0,Communication,350,30,2021,IS_Internet_User,45-54,15.8
16,17,17,67,Male,Alexandria,0.92,1,WE,Mobile Data,WE Mobile 40GB,2.6,News,200,20,2016,IS_Internet_User,55+,13.7
